FIPS,income
06037134903,77353
06037134002,54138
06037134423,100950
06037134424,147679
06037134522,37869
06037128500,74375
06037131800,66434
06037134304,64167
06037134306,69286
06037135102,145313
06037135203,116518
06037139301,126328
06037532002,47708
06037532101,50313
06037532604,49063
06037702400,78594
06037702502,86959
06037800102,130703
06037501503,66053
06037530003,101563
06037530902,44722
06037531604,41652
06037533105,35625
06037533106,41504
06037310100,136000
06037310400,92955
06037320300,52532
06037121221,64335
06037121222,55192
06037121801,42520
06037574202,77386
06037575001,83482
06037575801,36573
06037577400,81250
06037600902,41477
06037601100,34849
06037603500,81797
06037603704,52590
06037603900,51110
06037620901,205750
06037650001,96250
06037650501,115174
06037651102,77350
06037407602,68346
06037407801,96620
06037407802,84643
06037408003,86463
06037408004,78641
06037408005,113477
06037408006,80500
06037119341,51083
06037119342,58611
06037120103,26875
06037120104,38672
06037120105,33984
06037120106,36217
06037910713,64472
06037910714,56652
06037910715,55118
06037910716,73466
06037910811,121771
06037910812,81563
06037910813,105703
06037911001,53830
06037920011,67188
06037920012,71591
06037920044,98472
06037920045,141029
06037920114,120536
06037920102,90214
06037920115,117955
06037920116,113720
06037920118,126425
06037920119,142321
06037920336,56912
06037920337,56297
06037920338,156776
06037920339,143047
06037930101,149063
06037930301,84219
06037242000,30698
06037242700,46492
06037267200,86601
06037401701,86856
06037401901,79327
06037402801,45313
06037403304,106188
06037403316,84976
06037403320,114063
06037403404,95625
06037403406,85417
06037403801,73250
06037403902,88611
06037404301,49534
06037404803,66736
06037404903,60993
06037190520,41011
06037401603,63611
06037481103,70618
06037500100,123021
06037920038,55606
06037480002,109625
06037500700,79872
06037670405,98533
06037601302,51857
06037602404,47541
06037702803,63485
06037900806,21604
06037271500,100679
06037277200,60179
06037201401,51212
06037212202,39229
06037432500,51353
06037433802,71645
06037462900,138611
06037404302,78077
06037433402,48547
06037461000,77569
06037480702,153487
06037530302,52906
06037300702,112802
06037300902,136708
06037301300,119107
06037123303,44477
06037123420,44790
06037127300,49375
06037127520,35728
06037128303,39488
06037131100,81613
06037228220,43482
06037228320,43272
06037228410,41012
06037228420,38094
06037228500,33125
06037228900,23750
06037229420,42250
06037231220,29741
06037231500,48912
06037234200,76761
06037143901,212188
06037183220,63899
06037185100,109886
06037185320,42202
06037186100,92569
06037408136,97500
06037408137,70976
06037408138,58594
06037408139,71028
06037408140,64692
06037408141,75722
06037408504,86296
06037408505,113702
06037408630,83793
06037408631,80417
06037408723,70109
06037408724,41486
06037430003,117543
06037430901,64583
06037430902,83853
06037431501,64244
06037431502,62531
06037980024,150250
06037980010,19167
06037901010,59899
06037901011,72917
06037901209,63365
06037602801,38438
06037602802,68097
06037603005,50656
06037603006,58750
06037603801,59085
06037603802,58716
06037604001,67407
06037604002,61607
06037620305,118542
06037141304,98375
06037143604,82199
06037183103,61719
06037143603,87000
06037183221,60048
06037183104,92806
06037183222,79861
06037183401,61875
06037183402,65568
06037183701,48654
06037183702,62778
06037185203,49698
06037185204,86971
06037186201,61733
06037186202,95089
06037186203,114461
06037186301,53125
06037186302,78264
06037137301,156250
06037139302,46743
06037137401,125781
06037137402,115978
06037139200,70463
06037139703,124830
06037139801,157557
06037141600,196741
06037143400,116222
06037181000,116958
06037183520,52232
06037191204,41453
06037191620,27306
06037191820,56996
06037192510,49464
06037192520,45823
06037192610,35948
06037194500,113571
06037195300,75104
06037195600,72035
06037199400,44637
06037199800,37755
06037201504,53750
06037204820,40000
06037134905,84224
06037135113,85505
06037135114,58958
06037137103,89344
06037139001,86488
06037134904,49866
06037137104,106111
06037139401,57440
06037139402,137578
06037139503,57006
06037532102,74425
06037201503,51433
06037207400,87000
06037208903,31731
06037209200,54894
06037210010,31712
06037211420,44330
06037212203,27092
06037212610,43608
06037214400,77708
06037214600,102868
06037218120,36488
06037218500,44872
06037221210,50035
06037221302,37500
06037224200,31996
06037463500,95339
06037460900,79101
06037461100,90444
06037461700,123854
06037480101,74896
06037221120,38060
06037222500,56548
06037224020,27332
06037224320,28616
06037227020,47361
06037228720,38933
06037229200,41250
06037231300,49803
06037231710,26444
06037232700,38341
06037236202,29766
06037236400,66359
06037237720,33897
06037240500,40764
06037240900,45619
06037261102,159563
06037262200,184000
06037262301,215750
06037262400,250001
06037265100,112500
06037530700,55855
06037531301,40385
06037243000,51479
06037262100,217462
06037262303,250001
06037262601,212386
06037400900,102758
06037401102,79539
06037401312,74219
